Date,CPI,UnempRate
2000-01-01,3.85177112617523,4.0
2000-02-01,2.78558392501993,4.1
2000-03-01,3.41680877584016,4.0
2000-04-01,2.27690126641777,3.8
2000-05-01,2.85353384475986,4.0
2000-06-01,3.14253450270141,4.0
2000-07-01,3.4363633527404702,4.0
2000-08-01,2.87570061509343,4.1
2000-09-01,3.06873423353,3.9
2000-10-01,2.7010732653574503,3.9
2000-11-01,2.65177399972001,3.9
2000-12-01,3.2964610225159103,3.9
2001-01-01,4.0764778317574,4.2
2001-02-01,2.8367889543748905,4.2
2001-03-01,2.99214660516078,4.3
2001-04-01,3.14463308812682,4.4
2001-05-01,3.5011161919658704,4.3
2001-06-01,3.52180031475502,4.5
2001-07-01,2.4350411076885496,4.6
2001-08-01,3.80544284558475,4.9
2001-09-01,2.78250757475318,5.0
2001-10-01,4.18407658200821,5.3
2001-11-01,3.4431714115967296,5.5
2001-12-01,2.47528603199942,5.7
2002-01-01,2.7615896715014903,5.7
2002-02-01,3.38352407504046,5.7
2002-03-01,2.8726214230371,5.7
2002-04-01,2.67648214481753,5.9
2002-05-01,2.42019843819257,5.8
2002-06-01,2.5025331988713,5.8
2002-07-01,2.24505523113134,5.8
2002-08-01,2.28572177593909,5.7
2002-09-01,2.71779789775748,5.7
2002-10-01,2.31390307533894,5.7
2002-11-01,1.9109760074518305,5.9
2002-12-01,3.01261428455382,6.0
2003-01-01,2.18139042769816,5.8
2003-02-01,1.9758302344968104,5.9
2003-03-01,1.12621180925949,5.9
2003-04-01,0.553036890472014,6.0
2003-05-01,1.07578818642804,6.1
2003-06-01,1.12305963544221,6.3
2003-07-01,2.6710731226571096,6.2
2003-08-01,2.35741426924818,6.1
2003-09-01,2.02226514469577,6.1
2003-10-01,2.09586749439761,6.0
2003-11-01,1.1863624116481102,5.8
2003-12-01,1.79882233944806,5.7
2004-01-01,2.2200747059839503,5.7
2004-02-01,2.91265455346974,5.6
2004-03-01,2.7344022682197897,5.8
2004-04-01,2.5383819269539303,5.6
2004-05-01,3.2174948905270697,5.6
2004-06-01,2.72493144884725,5.6
2004-07-01,1.77113695955513,5.5
2004-08-01,2.87323745174035,5.4
2004-09-01,2.1466349952753,5.4
2004-10-01,2.6605010937276203,5.5
2004-11-01,1.4800663055379,5.4
2004-12-01,1.91524972608856,5.4
2005-01-01,3.4217591363454103,5.3
2005-02-01,3.30400229074104,5.4
2005-03-01,1.8971793950121696,5.2
2005-04-01,2.09647901335652,5.2
2005-05-01,3.16846235161856,5.1
2005-06-01,1.62477538920178,5.0
2005-07-01,3.0286455734746403,5.0
2005-08-01,2.22215620270876,4.9
2005-09-01,4.02470724061161,5.0
2005-10-01,3.3315751559861897,5.0
2005-11-01,2.83691194814226,5.0
2005-12-01,2.20489319920401,4.9
2006-01-01,2.88432186623886,4.7
2006-02-01,2.07202087371556,4.8
2006-03-01,3.08218251360963,4.7
2006-04-01,2.8870316165126,4.7
2006-05-01,4.28816068458393,4.6
2006-06-01,3.19983083499134,4.6
2006-07-01,3.05393052415284,4.7
2006-08-01,4.62137039677921,4.7
2006-09-01,2.1062637733366696,4.5
2006-10-01,3.6506970400157694,4.4
2006-11-01,3.02469916751935,4.5
2006-12-01,2.72554654380133,4.4
2007-01-01,2.9644102631689195,4.6
2007-02-01,4.4470256400193495,4.5
2007-03-01,2.6885311218425296,4.4
2007-04-01,2.36832536836802,4.5
2007-05-01,2.35349143799752,4.4
2007-06-01,3.2680317367730405,4.6
2007-07-01,2.82817098511783,4.7
2007-08-01,2.18457280462696,4.6
2007-09-01,3.7044060077008303,4.7
2007-10-01,3.43463052089827,4.7
2007-11-01,3.475359352757,4.7
2007-12-01,2.98265388398264,5.0
2008-01-01,3.28360527628442,5.0
2008-02-01,2.85747436326564,4.9
2008-03-01,3.0404857461239905,5.1
2008-04-01,2.24101388446512,5.0
2008-05-01,2.4627692895931,5.4
2008-06-01,4.05370089545272,5.6
2008-07-01,3.98912873927892,5.8
2008-08-01,2.94013128490127,6.1
2008-09-01,3.17438970761372,6.1
2008-10-01,2.20171024216991,6.5
2008-11-01,1.93625366578525,6.8
2008-12-01,0.3634841508005421,7.3
2009-01-01,2.40364062502632,7.8
2009-02-01,2.14357605719473,8.3
2009-03-01,1.90828983085518,8.7
2009-04-01,1.86117019943739,9.0
2009-05-01,1.29376893720741,9.4
2009-06-01,0.75584590889346,9.5
2009-07-01,0.125832513392354,9.5
2009-08-01,1.6255061079099,9.6
2009-09-01,0.914369783533586,9.8
2009-10-01,1.1903654188135,10.0
2009-11-01,0.516016421313492,9.9
2009-12-01,0.460810409841406,9.9
2010-01-01,0.680110845940707,9.8
2010-02-01,-0.1066278542679489,9.8
2010-03-01,-0.286064246298046,9.9
2010-04-01,0.4526162541784729,9.9
2010-05-01,0.27574788971958,9.6
2010-06-01,1.2647526767523898,9.4
2010-07-01,0.632305068442718,9.4
2010-08-01,0.4302059340372199,9.5
2010-09-01,1.53627227687154,9.5
2010-10-01,1.1260905710720202,9.4
2010-11-01,1.31829898066591,9.8
2010-12-01,1.393380280754,9.3
2011-01-01,2.27322625990496,9.1
2011-02-01,2.8169688979258902,9.0
2011-03-01,1.74418998266395,9.0
2011-04-01,2.24921919600376,9.1
2011-05-01,2.3058155396239,9.0
2011-06-01,1.92672807632472,9.1
2011-07-01,2.5370313756665,9.0
2011-08-01,3.1779707716990093,9.0
2011-09-01,2.49197707942446,9.0
2011-10-01,2.02226514469577,8.8
2011-11-01,1.84701379887522,8.6
2011-12-01,2.37433305779156,8.5
