DATE,BOGMBASE_PCH
1980-10-01,0.94103
1980-11-01,0.68365
1980-12-01,0.86420
1981-01-01,-1.40759
1981-02-01,-1.30354
1981-03-01,0.50314
1981-04-01,1.62703
1981-05-01,0.49261
1981-06-01,0.42892
1981-07-01,1.28127
1981-08-01,0.06024
1981-09-01,-0.84287
1981-10-01,0.18215
1981-11-01,1.33333
1981-12-01,2.09330
1982-01-01,-0.52724
1982-02-01,-1.35453
1982-03-01,-0.77612
1982-04-01,1.50421
1982-05-01,0.77060
1982-06-01,1.00000
1982-07-01,0.99010
1982-08-01,0.34602
1982-09-01,-0.34483
1982-10-01,0.92272
1982-11-01,1.42857
1982-12-01,1.80282
1983-01-01,-0.99613
1983-02-01,-1.06205
1983-03-01,0.16949
1983-04-01,1.52284
1983-05-01,0.77778
1983-06-01,1.04741
1983-07-01,1.09111
1983-08-01,0.05397
1983-09-01,-0.26969
1983-10-01,0.81125
1983-11-01,1.44850
1983-12-01,1.63934
1984-01-01,-0.46826
1984-02-01,-2.35233
1984-03-01,1.23126
1984-04-01,1.63934
1984-05-01,0.31217
1984-06-01,1.50415
1984-07-01,0.91978
1984-08-01,-0.40506
1984-09-01,0.61007
1984-10-01,0.10106
1984-11-01,1.26199
1984-12-01,2.09372
1985-01-01,-0.78125
1985-02-01,-1.47638
1985-03-01,1.24875
1985-04-01,1.38135
1985-05-01,0.58394
1985-06-01,1.69328
1985-07-01,0.99905
1985-08-01,0.23552
1985-09-01,0.89286
1985-10-01,0.60550
1985-11-01,1.62037
1985-12-01,2.36902
1986-01-01,-1.33511
1986-02-01,-1.75913
1986-03-01,1.65289
1986-04-01,1.67118
1986-05-01,0.57752
1986-06-01,1.63428
1986-07-01,1.26032
1986-08-01,0.08584
1986-09-01,0.81475
1986-10-01,0.80817
1986-11-01,2.10970
1986-12-01,2.72727
1987-01-01,-0.64360
1987-02-01,-1.82186
1987-03-01,0.94845
1987-04-01,1.96078
1987-05-01,0.40064
1987-06-01,0.91780
1987-07-01,0.75129
1987-08-01,-0.07849
1987-09-01,0.66771
1987-10-01,0.70230
1987-11-01,1.66602
1987-12-01,1.71494
1988-01-01,-0.22480
1988-02-01,-2.10289
1988-03-01,1.03567
1988-04-01,1.89825
1988-05-01,0.14903
1988-06-01,1.59970
1988-07-01,0.98865
1988-08-01,-0.36258
1988-09-01,0.14556
1988-10-01,0.07267
1988-11-01,1.37981
1988-12-01,1.64756
1989-01-01,-0.56378
1989-02-01,-2.44507
1989-03-01,1.27134
1989-04-01,1.00430
1989-05-01,-0.35511
1989-06-01,1.10478
1989-07-01,0.70497
1989-08-01,-0.63003
1989-09-01,0.03522
1989-10-01,0.07042
1989-11-01,1.26671
1989-12-01,2.25851
1990-01-01,-0.40775
1990-02-01,-1.84237
1990-03-01,1.63365
1990-04-01,1.70999
1990-05-01,-0.03362
1990-06-01,1.47999
1990-07-01,0.72920
1990-08-01,0.39487
1990-09-01,0.95051
1990-10-01,0.25974
1990-11-01,1.58679
1990-12-01,0.51004
