DATE,M2SL_PC1
1976-01-01,13.27375
1976-02-01,13.80593
1976-03-01,13.51351
1976-04-01,13.44241
1976-05-01,13.10265
1976-06-01,11.90031
1976-07-01,11.40396
1976-08-01,11.75872
1976-09-01,12.03227
1976-10-01,12.74805
1976-11-01,13.04002
1976-12-01,13.36351
1977-01-01,13.50088
1977-02-01,13.19812
1977-03-01,13.19048
1977-04-01,13.08446
1977-05-01,12.76933
1977-06-01,13.01039
1977-07-01,12.92461
1977-08-01,12.58760
1977-09-01,12.18941
1977-10-01,11.46667
1977-11-01,10.91197
1977-12-01,10.26910
1978-01-01,9.82664
1978-02-01,9.16270
1978-03-01,8.72528
1978-04-01,8.40280
1978-05-01,8.39537
1978-06-01,8.26901
1978-07-01,7.94000
1978-08-01,7.80113
1978-09-01,7.92810
1978-10-01,7.83892
1978-11-01,7.66001
1978-12-01,7.53365
1979-01-01,7.18137
1979-02-01,7.18009
1979-03-01,7.39824
1979-04-01,7.82067
1979-05-01,7.60778
1979-06-01,7.92567
1979-07-01,8.36040
1979-08-01,8.48144
1979-09-01,8.11152
1979-10-01,7.99379
1979-11-01,7.85814
1979-12-01,7.88433
1980-01-01,8.10003
1980-02-01,8.47728
1980-03-01,8.07033
1980-04-01,7.13929
1980-05-01,7.24011
1980-06-01,7.46311
1980-07-01,7.71536
1980-08-01,7.94276
1980-09-01,8.24565
1980-10-01,8.51821
1980-11-01,8.86145
1980-12-01,8.55669
1981-01-01,8.37661
1981-02-01,8.30322
1981-03-01,9.12122
1981-04-01,10.45134
1981-05-01,10.04430
1981-06-01,9.22705
1981-07-01,8.82562
1981-08-01,8.50464
1981-09-01,8.38628
1981-10-01,8.64462
1981-11-01,8.79183
1981-12-01,9.73247
1982-01-01,10.17487
1982-02-01,9.62501
1982-03-01,9.15923
1982-04-01,8.72107
1982-05-01,9.08545
1982-06-01,9.32168
1982-07-01,8.89470
1982-08-01,8.90633
1982-09-01,8.93318
1982-10-01,8.58985
1982-11-01,8.50181
1982-12-01,8.56736
1983-01-01,10.67555
1983-02-01,12.52747
1983-03-01,12.80157
1983-04-01,12.45634
1983-05-01,12.54269
1983-06-01,12.45893
1983-07-01,12.73819
1983-08-01,12.39974
1983-09-01,12.09643
1983-10-01,12.27470
1983-11-01,12.13569
1983-12-01,11.41718
1984-01-01,9.12524
1984-02-01,8.08293
1984-03-01,7.93966
1984-04-01,8.04003
1984-05-01,7.88018
1984-06-01,7.86949
1984-07-01,7.68597
1984-08-01,7.54098
1984-09-01,7.73810
1984-10-01,7.60766
1984-11-01,8.00549
1984-12-01,8.61314
1985-01-01,9.08241
1985-02-01,9.07701
1985-03-01,8.78080
1985-04-01,8.38162
1985-05-01,8.41160
1985-06-01,8.91608
1985-07-01,9.26467
1985-08-01,9.57676
1985-09-01,9.44573
1985-10-01,9.25672
1985-11-01,8.60875
1985-12-01,8.05151
1986-01-01,7.27577
1986-02-01,6.74568
1986-03-01,7.05350
1986-04-01,7.67871
1986-05-01,8.17326
1986-06-01,7.97480
1986-07-01,8.11278
1986-08-01,8.28560
1986-09-01,8.60609
1986-10-01,8.88979
1986-11-01,9.02010
1986-12-01,9.46591
1987-01-01,9.66388
1987-02-01,9.33583
1987-03-01,8.70870
1987-04-01,8.20627
1987-05-01,7.27716
1987-06-01,6.51056
1987-07-01,5.80218
1987-08-01,5.35424
1987-09-01,4.93665
1987-10-01,4.74064
1987-11-01,4.35346
1987-12-01,3.60704
1988-01-01,3.77200
1988-02-01,4.47316
1988-03-01,4.97512
1988-04-01,5.16674
1988-05-01,5.52130
1988-06-01,5.90355
1988-07-01,6.05254
1988-08-01,5.87476
1988-09-01,5.62243
1988-10-01,5.34674
1988-11-01,5.72209
1988-12-01,5.72460
1989-01-01,5.06778
1989-02-01,4.24331
1989-03-01,3.77071
1989-04-01,3.27413
1989-05-01,2.92550
1989-06-01,3.04588
1989-07-01,3.56949
1989-08-01,4.14634
1989-09-01,4.58588
1989-10-01,5.01804
1989-11-01,5.13724
1989-12-01,5.49829
1990-01-01,5.85286
1990-02-01,6.24958
1990-03-01,6.34730
1990-04-01,6.50699
1990-05-01,6.27573
1990-06-01,6.13627
1990-07-01,5.63819
1990-08-01,5.45147
1990-09-01,5.24171
1990-10-01,4.66266
1990-11-01,4.12664
1990-12-01,3.78430
1991-01-01,3.81773
1991-02-01,3.94124
1991-03-01,4.13153
1991-04-01,4.08546
1991-05-01,4.44917
1991-06-01,4.30034
1991-07-01,4.08125
1991-08-01,3.48550
1991-09-01,3.08179
1991-10-01,3.09269
1991-11-01,3.15393
1991-12-01,3.06865
1992-01-01,2.84393
1992-02-01,2.89000
1992-03-01,2.46847
1992-04-01,2.01957
1992-05-01,1.66318
1992-06-01,1.23810
1992-07-01,1.12631
1992-08-01,1.30551
1992-09-01,1.65132
1992-10-01,1.89578
1992-11-01,1.81251
1992-12-01,1.55685
1993-01-01,1.12090
1993-02-01,0.42647
1993-03-01,0.22915
1993-04-01,0.34121
1993-05-01,1.12693
1993-06-01,1.44398
1993-07-01,1.41725
1993-08-01,1.37990
1993-09-01,1.22863
1993-10-01,0.96092
1993-11-01,1.27244
1993-12-01,1.45414
1994-01-01,1.63201
1994-02-01,1.79236
1994-03-01,2.00487
1994-04-01,2.05200
1994-05-01,1.56827
1994-06-01,1.07774
1994-07-01,1.34224
1994-08-01,1.16087
1994-09-01,0.98198
1994-10-01,0.79845
1994-11-01,0.49278
1994-12-01,0.34250
1995-01-01,0.50361
1995-02-01,0.40855
1995-03-01,0.31608
1995-04-01,0.51418
1995-05-01,0.95680
1995-06-01,1.99454
1995-07-01,2.27051
1995-08-01,2.96354
1995-09-01,3.32750
1995-10-01,3.70519
1995-11-01,3.80535
1995-12-01,4.10452
1996-01-01,4.45253
1996-02-01,4.92564
1996-03-01,5.60855
1996-04-01,5.67273
1996-05-01,5.26077
1996-06-01,4.89166
1996-07-01,4.75697
1996-08-01,4.31875
1996-09-01,4.20033
1996-10-01,4.41136
1996-11-01,4.83991
1996-12-01,5.21008
1997-01-01,5.11801
1997-02-01,5.03851
1997-03-01,4.72755
1997-04-01,4.84896
1997-05-01,4.84149
1997-06-01,4.92948
1997-07-01,4.99853
1997-08-01,5.69979
1997-09-01,5.85336
1997-10-01,5.81796
1997-11-01,5.78904
1997-12-01,5.61200
1998-01-01,5.77896
1998-02-01,6.30736
1998-03-01,6.55496
1998-04-01,6.78875
1998-05-01,7.07601
1998-06-01,7.11982
1998-07-01,7.13321
1998-08-01,6.85551
1998-09-01,7.41235
1998-10-01,7.90021
1998-11-01,8.25944
1998-12-01,8.48769
1999-01-01,8.54001
1999-02-01,8.22715
1999-03-01,7.72428
1999-04-01,7.74117
1999-05-01,7.70579
1999-06-01,7.72209
1999-07-01,7.86669
1999-08-01,7.63828
1999-09-01,7.03206
1999-10-01,6.58820
1999-11-01,6.07629
1999-12-01,6.00658
2000-01-01,5.98737
2000-02-01,5.74198
2000-03-01,6.27468
2000-04-01,6.84646
2000-05-01,5.98845
2000-06-01,5.87061
2000-07-01,5.62135
2000-08-01,5.83958
2000-09-01,6.25041
2000-10-01,6.04813
2000-11-01,5.85186
2000-12-01,6.18801
2001-01-01,6.63281
2001-02-01,7.15263
2001-03-01,7.68120
2001-04-01,7.75896
2001-05-01,7.97451
2001-06-01,8.41821
2001-07-01,8.64409
2001-08-01,8.71199
2001-09-01,10.20358
2001-10-01,9.60938
2001-11-01,10.25552
2001-12-01,10.33096
2002-01-01,9.61473
2002-02-01,9.35961
2002-03-01,8.34385
2002-04-01,6.99975
2002-05-01,7.56867
2002-06-01,7.20982
2002-07-01,7.41246
2002-08-01,7.53074
2002-09-01,5.75125
2002-10-01,6.80707
2002-11-01,6.87258
2002-12-01,6.22401
2003-01-01,6.42636
2003-02-01,6.51603
2003-03-01,6.66400
2003-04-01,7.34068
2003-05-01,7.92900
2003-06-01,8.10421
2003-07-01,8.11580
2003-08-01,8.33156
2003-09-01,7.36917
2003-10-01,6.37148
2003-11-01,5.53855
2003-12-01,5.11608
2004-01-01,4.66699
2004-02-01,4.68437
2004-03-01,4.92544
2004-04-01,4.95694
2004-05-01,5.18182
2004-06-01,4.57805
2004-07-01,3.99821
2004-08-01,3.43889
2004-09-01,4.48722
2004-10-01,5.10753
2004-11-01,5.44891
2004-12-01,5.78511
2005-01-01,5.74438
2005-02-01,5.20910
2005-03-01,4.74464
2005-04-01,4.27542
2005-05-01,3.27372
2005-06-01,3.75249
2005-07-01,4.02750
2005-08-01,4.11371
2005-09-01,4.08176
2005-10-01,4.16268
2005-11-01,3.98762
2005-12-01,4.10701
2006-01-01,4.66651
2006-02-01,4.90922
2006-03-01,4.98300
2006-04-01,5.33156
2006-05-01,5.15348
2006-06-01,5.21227
2006-07-01,5.33698
2006-08-01,5.27990
2006-09-01,5.14665
2006-10-01,5.34299
2006-11-01,5.61082
2006-12-01,5.83217
2007-01-01,5.72996
2007-02-01,5.58190
2007-03-01,5.85843
2007-04-01,6.34108
2007-05-01,6.44199
2007-06-01,6.33610
2007-07-01,6.13827
2007-08-01,6.76584
2007-09-01,6.60983
2007-10-01,6.06152
2007-11-01,5.88185
2007-12-01,5.65643
2008-01-01,5.56853
2008-02-01,6.53025
2008-03-01,6.94361
2008-04-01,6.47048
2008-05-01,6.42891
2008-06-01,6.18663
2008-07-01,6.38117
2008-08-01,5.48537
2008-09-01,6.16355
2008-10-01,7.38958
2008-11-01,7.71319
2008-12-01,9.64318
2009-01-01,10.23516
2009-02-01,9.38661
2009-03-01,9.31402
2009-04-01,8.75026
2009-05-01,9.33058
2009-06-01,9.20700
2009-07-01,8.61306
2009-08-01,8.40543
2009-09-01,7.43940
2009-10-01,6.35004
2009-11-01,6.05055
2009-12-01,3.70967
2010-01-01,2.22875
2010-02-01,2.46053
2010-03-01,1.61543
2010-04-01,1.93840
2010-05-01,1.88834
2010-06-01,1.99633
2010-07-01,2.05681
2010-08-01,2.65364
2010-09-01,3.03048
2010-10-01,3.28529
2010-11-01,3.16676
2010-12-01,3.59934
2011-01-01,4.31539
2011-02-01,4.46082
2011-03-01,5.16197
2011-04-01,5.50309
2011-05-01,5.65315
2011-06-01,6.29574
2011-07-01,8.09625
2011-08-01,9.67228
2011-09-01,9.51943
2011-10-01,9.28864
2011-11-01,9.60775
2011-12-01,9.75141
2012-01-01,10.31610
2012-02-01,10.11376
2012-03-01,9.91894
2012-04-01,9.76913
2012-05-01,9.39783
2012-06-01,9.27003
2012-07-01,7.89129
2012-08-01,6.45484
2012-09-01,7.05792
2012-10-01,7.37495
2012-11-01,7.54218
2012-12-01,8.27735
2013-01-01,7.66646
2013-02-01,7.11548
2013-03-01,7.31797
2013-04-01,7.09487
2013-05-01,7.04847
2013-06-01,6.85648
2013-07-01,6.75501
2013-08-01,6.60883
2013-09-01,6.27892
2013-10-01,6.71452
2013-11-01,6.10780
2013-12-01,5.44088
2014-01-01,5.71974
2014-02-01,6.47777
2014-03-01,6.16303
2014-04-01,6.33862
2014-05-01,6.56837
2014-06-01,6.51199
2014-07-01,6.60808
2014-08-01,6.29460
2014-09-01,6.10167
2014-10-01,5.53725
2014-11-01,5.79542
2014-12-01,5.91814
2015-01-01,6.01413
2015-02-01,6.29782
2015-03-01,6.06596
2015-04-01,5.95635
2015-05-01,5.59759
2015-06-01,5.49263
2015-07-01,5.40652
2015-08-01,5.58094
2015-09-01,5.75251
2015-10-01,5.47763
2015-11-01,5.87090
2015-12-01,5.67136
2016-01-01,6.17103
2016-02-01,5.74600
2016-03-01,6.14583
2016-04-01,6.46411
2016-05-01,6.73311
2016-06-01,6.88084
2016-07-01,6.91302
2016-08-01,7.17371
2016-09-01,7.17991
2016-10-01,7.44949
2016-11-01,7.24809
2016-12-01,7.01231
2017-01-01,6.51724
2017-02-01,6.42297
2017-03-01,6.43076
2017-04-01,6.17794
2017-05-01,6.02557
2017-06-01,5.66557
2017-07-01,5.65467
2017-08-01,5.40445
2017-09-01,5.24778
2017-10-01,5.12766
2017-11-01,4.76303
2017-12-01,4.86540
2018-01-01,4.40799
2018-02-01,4.18533
2018-03-01,4.06018
2018-04-01,3.74400
2018-05-01,3.74147
2018-06-01,4.00991
2018-07-01,3.78827
2018-08-01,3.71210
2018-09-01,3.58910
2018-10-01,3.27420
2018-11-01,3.16935
2018-12-01,3.65643
2019-01-01,4.05676
2019-02-01,4.04092
2019-03-01,3.90391
2019-04-01,3.95562
2019-05-01,4.21118
2019-06-01,4.62468
2019-07-01,4.92891
2019-08-01,5.16233
2019-09-01,5.55907
2019-10-01,6.43567
2019-11-01,7.07996
2019-12-01,6.68788
2020-01-01,6.72866
2020-02-01,6.81578
2020-03-01,10.18490
2020-04-01,16.92800
2020-05-01,21.88758
2020-06-01,22.87052
2020-07-01,23.21725
2020-08-01,23.04052
2020-09-01,23.79505
2020-10-01,23.71535
2020-11-01,24.39295
2020-12-01,24.84284
2021-01-01,25.78140
2021-02-01,26.88971
2021-03-01,24.17410
2021-04-01,18.27966
2021-05-01,14.47979
2021-06-01,12.84992
2021-07-01,12.81445
2021-08-01,13.59070
2021-09-01,13.00767
2021-10-01,12.84286
2021-11-01,12.51147
2021-12-01,12.33163
2022-01-01,11.80327
2022-02-01,10.88323
2022-03-01,9.84955
2022-04-01,8.04306
